,Unnamed: 0,ingrediente,risk,function,frecuencia,info,Cantidad de Rubros,Rubros,Cuartiles
1,DISODIUM EDTA,DISODIUM EDTA,3.0,"CHELATING, VISCOSITY CONTROLLING",0.16699999999999998,Ingrediente generalmente considerado seguro para su uso en productos de Belleza y Cuidado Personal. Potencialmente bioacumulable y peligroso para el ambiente.,22.0,"['Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Corporal, Exfoliante', 'Cuidado Corporal, Protectores Solares', 'Cosmeticos, Maquillaje', 'Cuidado Corporal, Bronceadores', 'Cuidado del Cabello, Acondicionador', 'Cuidado Facial, Exfoliante', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Facial, Hidratantes', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Limpieza Facial', 'Cuidado del Bebé, Para el Baño', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Desodorantes', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado Corporal, Lociones Corporales', 'Cuidado Facial, Humectante', 'Niños, Protectores Solares', 'Cuidado del Cabello, Tratamiento Capilar']",Q3
0,LINALOOL,LINALOOL,4.0,"DEODORANT, PERFUMING",0.294,"Ingrediente presente en la muchos de los aceites esenciales usados en productos de Belleza y Cuidado Personal, natural. En su forma pura sus efectos alérgenos son muy bajos. Sin embargo, en contacto con el aire, el Linalool puede oxidarse, dando lugar a la formación de productos con características alergénicas e irritantes para la piel.",28.0,"['Cuidado Corporal, Jabones', 'Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Corporal, Exfoliante', 'Cuidado Corporal, Protectores Solares', 'Cuidado del Cabello, Crema para peinar', 'Desodorantes de Ambientes, Aerosoles', 'Cuidado del Cabello, Acondicionador', 'Cuidado Facial, Protectores Solares', 'Cuidado Facial, Limpiador Facial', 'Cuidado Corporal, Cremas Corporales', 'Protectores Solares, Labial', 'Cuidado Facial, Hidratantes', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Limpieza Facial', 'Cuidado del Bebé, Para el Baño', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Desodorantes', 'Limpieza de Baño, Desinfectantes de Baño', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado Corporal, Lociones Corporales', 'Cuidado Facial, Humectante', 'Cuidado Corporal, Hidratantes', 'Niños, Protectores Solares', 'Cuidado Corporal, Geles de Baño', 'Limpieza de Cocina, Detergentes', 'Cuidado del Cabello, Tratamiento Capilar']","Q4 ,Q3"
1,DISODIUM EDTA,DISODIUM EDTA,3.0,"CHELATING, VISCOSITY CONTROLLING",0.235,Ingrediente generalmente considerado seguro para su uso en productos de Belleza y Cuidado Personal. Potencialmente bioacumulable y peligroso para el ambiente.,22.0,"['Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Corporal, Exfoliante', 'Cuidado Corporal, Protectores Solares', 'Cosmeticos, Maquillaje', 'Cuidado Corporal, Bronceadores', 'Cuidado del Cabello, Acondicionador', 'Cuidado Facial, Exfoliante', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Facial, Hidratantes', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Limpieza Facial', 'Cuidado del Bebé, Para el Baño', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Desodorantes', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado Corporal, Lociones Corporales', 'Cuidado Facial, Humectante', 'Niños, Protectores Solares', 'Cuidado del Cabello, Tratamiento Capilar']","Q2 ,Q3"
2,0,0,3.0,"PERFUMING, TONIC",0.17600000000000002,Ingrediente potencialmente irritante para la piel.,22.0,"['Cuidado Corporal, Jabones', 'Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Corporal, Protectores Solares', 'Desodorantes de Ambientes, Aerosoles', 'Cuidado del Cabello, Acondicionador', 'Cuidado Facial, Protectores Solares', 'Cuidado Facial, Limpiador Facial', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Facial, Hidratantes', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Limpieza Facial', 'Cuidado del Bebé, Para el Baño', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Desodorantes', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado Corporal, Lociones Corporales', 'Cuidado Facial, Humectante', 'Cuidado Corporal, Hidratantes', 'Niños, Protectores Solares', 'Cuidado del Cabello, Tratamiento Capilar']","Q4 ,Q3"
3,CITRONELLOL,CITRONELLOL,3.0,PERFUMING,0.11800000000000001,Ingrediente potencialmente irritante para la piel.,21.0,"['Cuidado Corporal, Jabones', 'Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Corporal, Protectores Solares', 'Cuidado de Ropa, Jabones de Lavar', 'Desodorantes de Ambientes, Aerosoles', 'Cuidado del Cabello, Acondicionador', 'Cuidado Facial, Protectores Solares', 'Cuidado Facial, Limpiador Facial', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Facial, Hidratantes', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Limpieza Facial', 'Cuidado del Bebé, Para el Baño', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Desodorantes', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado Corporal, Lociones Corporales', 'Cuidado Facial, Humectante', 'Cuidado del Cabello, Tratamiento Capilar']",Q2
0,BENZYL BENZOATE,BENZYL BENZOATE,8.0,"ANTIMICROBIAL, PERFUMING, SOLVENT",0.2,Ingrediente potencialmente alergénico y sensibilizador de la piel. Existen restricciones de uso de este ingrediente.,13.0,"['Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Protectores Solares', 'Cuidado del Cabello, Coloración', 'Cuidado Corporal, Cremas Corporales', 'Protectores Solares, Labial', 'Cuidado Facial, Limpieza Facial', 'Cuidado del Bebé, Para el Baño', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Desodorantes', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado Corporal, Lociones Corporales', 'Cuidado del Cabello, Tratamiento Capilar']",Q2
0,BENZYL BENZOATE,BENZYL BENZOATE,8.0,"ANTIMICROBIAL, PERFUMING, SOLVENT",0.077,Ingrediente potencialmente alergénico y sensibilizador de la piel. Existen restricciones de uso de este ingrediente.,14.0,"['Protectores Solares, Labial', 'Cuidado Corporal, Manos y Pies', 'Cuidado del Cabello, Tratamiento Capilar', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Corporal, Lociones Corporales', 'Cuidado Corporal, Desodorantes', 'Cuidado Facial, Limpieza Facial', 'Cuidado del Bebé, Para el Baño', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Crema Corporal', 'Cuidado Corporal, Protectores Solares', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado del Cabello, Coloración', 'Cuidado del Bebé, Para Antes o Después del Baño']",Q4
0,BENZYL ALCOHOL,BENZYL ALCOHOL,5.0,"PERFUMING, PRESERVATIVE, SOLVENT, VISCOSITY CONTROLLING",1.0,Ingrediente potencialmente alergénico y sensibilizador de la piel.,23.0,"['Cuidado Corporal, Jabones', 'Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Exfoliante', 'Cuidado Corporal, Protectores Solares', 'Cuidado Oral, Crema Dental', 'Cuidado del Cabello, Crema para peinar', 'Cuidado del Cabello, Acondicionador', 'Cuidado Facial, Exfoliante', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Cremas Corporales', 'Protectores Solares, Labial', 'Cosmeticos, Labiales', 'Cuidado Facial, Hidratantes', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Limpieza Facial', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Desodorantes', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado Corporal, Lociones Corporales', 'Niños, Protectores Solares', 'Cuidado Corporal, Geles de Baño', 'Niños, Crema Dental', 'Cuidado del Cabello, Tratamiento Capilar']","Q2 ,Q3"
0,ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,8.0,"EMULSION STABILISING, FILM FORMING, VISCOSITY CONTROLLING",0.071,"Ingrediente (microplástico) generalmente considerado seguro para su uso en productos de Belleza y Cuidado Personal, en las condiciones actuales de concentración y prácticas de uso. Sin embargo, es un microplástico y puede tener efectos adversos sobre el ambiente. Además, los productos de degradación de este ingrediente pueden irritar la piel.",11.0,"['Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Facial, Hidratantes', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Limpieza Facial', 'Cuidado del Bebé, Para el Baño', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Lociones Corporales', 'Niños, Protectores Solares']","Q2 ,Q3"
1,BENZYL BENZOATE,BENZYL BENZOATE,8.0,"ANTIMICROBIAL, PERFUMING, SOLVENT",0.036000000000000004,Ingrediente potencialmente alergénico y sensibilizador de la piel. Existen restricciones de uso de este ingrediente.,13.0,"['Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Protectores Solares', 'Cuidado del Cabello, Coloración', 'Cuidado Corporal, Cremas Corporales', 'Protectores Solares, Labial', 'Cuidado Facial, Limpieza Facial', 'Cuidado del Bebé, Para el Baño', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Desodorantes', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado Corporal, Lociones Corporales', 'Cuidado del Cabello, Tratamiento Capilar']",Q2
0,ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,8.0,"EMULSION STABILISING, FILM FORMING, VISCOSITY CONTROLLING",0.083,"Ingrediente (microplástico) generalmente considerado seguro para su uso en productos de Belleza y Cuidado Personal, en las condiciones actuales de concentración y prácticas de uso. Sin embargo, es un microplástico y puede tener efectos adversos sobre el ambiente. Además, los productos de degradación de este ingrediente pueden irritar la piel.",11.0,"['Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Facial, Hidratantes', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Limpieza Facial', 'Cuidado del Bebé, Para el Baño', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Lociones Corporales', 'Niños, Protectores Solares']",Q2
1,BUTYL METHOXYDIBENZOYLMETHANE,BUTYL METHOXYDIBENZOYLMETHANE,8.1,"UV ABSORBER, UV FILTER",0.083,Ingrediente potencialmente irritante y sensibilizador de la piel. Otros riesgos potenciales se encuentran en proceso de evaluación. Su uso en productos de Belleza y Cuidado Personal está sujeto a limitaciones de concentración y restricciones de manufactura.,8.0,"['Cuidado Corporal, Jabones', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Cremas Corporales', 'Protectores Solares, Labial', 'Cuidado Facial, Hidratantes', 'Cuidado Corporal, Lociones Corporales', 'Niños, Protectores Solares']",Q2
0,LINALOOL,LINALOOL,4.0,"DEODORANT, PERFUMING",0.055999999999999994,"Ingrediente presente en la muchos de los aceites esenciales usados en productos de Belleza y Cuidado Personal, natural. En su forma pura sus efectos alérgenos son muy bajos. Sin embargo, en contacto con el aire, el Linalool puede oxidarse, dando lugar a la formación de productos con características alergénicas e irritantes para la piel.",28.0,"['Cuidado Corporal, Jabones', 'Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Corporal, Exfoliante', 'Cuidado Corporal, Protectores Solares', 'Cuidado del Cabello, Crema para peinar', 'Desodorantes de Ambientes, Aerosoles', 'Cuidado del Cabello, Acondicionador', 'Cuidado Facial, Protectores Solares', 'Cuidado Facial, Limpiador Facial', 'Cuidado Corporal, Cremas Corporales', 'Protectores Solares, Labial', 'Cuidado Facial, Hidratantes', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Limpieza Facial', 'Cuidado del Bebé, Para el Baño', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Desodorantes', 'Limpieza de Baño, Desinfectantes de Baño', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado Corporal, Lociones Corporales', 'Cuidado Facial, Humectante', 'Cuidado Corporal, Hidratantes', 'Niños, Protectores Solares', 'Cuidado Corporal, Geles de Baño', 'Limpieza de Cocina, Detergentes', 'Cuidado del Cabello, Tratamiento Capilar']",Q3
0,BENZYL ALCOHOL,BENZYL ALCOHOL,5.0,"PERFUMING, PRESERVATIVE, SOLVENT, VISCOSITY CONTROLLING",0.304,Ingrediente potencialmente alergénico y sensibilizador de la piel.,23.0,"['Cuidado Corporal, Jabones', 'Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Exfoliante', 'Cuidado Corporal, Protectores Solares', 'Cuidado Oral, Crema Dental', 'Cuidado del Cabello, Crema para peinar', 'Cuidado del Cabello, Acondicionador', 'Cuidado Facial, Exfoliante', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Cremas Corporales', 'Protectores Solares, Labial', 'Cosmeticos, Labiales', 'Cuidado Facial, Hidratantes', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Limpieza Facial', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Desodorantes', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado Corporal, Lociones Corporales', 'Niños, Protectores Solares', 'Cuidado Corporal, Geles de Baño', 'Niños, Crema Dental', 'Cuidado del Cabello, Tratamiento Capilar']","Q2 ,Q4 ,Q3"
0,BUTYL METHOXYDIBENZOYLMETHANE,BUTYL METHOXYDIBENZOYLMETHANE,8.1,"UV ABSORBER, UV FILTER",1.0,Ingrediente potencialmente irritante y sensibilizador de la piel. Otros riesgos potenciales se encuentran en proceso de evaluación. Su uso en productos de Belleza y Cuidado Personal está sujeto a limitaciones de concentración y restricciones de manufactura.,9.0,"['Niños, Protectores Solares', 'Cuidado Facial, Cremas Hidratantes', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Protectores Solares', 'Protectores Solares, Labial', 'Cuidado Facial, Hidratantes', 'Cuidado Corporal, Jabones', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Corporal, Lociones Corporales']",Q1
1,OCTOCRYLENE,OCTOCRYLENE,8.3,"UV ABSORBER, UV FILTER",1.0,Existen restricciones en cuanto a la concentración máxima permitida y el tipo de formulaciones en los que puede utilizarse este ingrediente. Es potencialmente alergénico (o foto-alergénico) y peligroso para la vida acuática.,7.0,"['Niños, Protectores Solares', 'Cuidado Facial, Cremas Hidratantes', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Protectores Solares', 'Protectores Solares, Labial', 'Cuidado Facial, Hidratantes', 'Cuidado Corporal, Cremas Corporales']",Q1
0,LIMONENE,LIMONENE,4.0,"DEODORANT, PERFUMING, SOLVENT",0.625,"Ingrediente potencialmente irritante para la piel, peligroso para la vida acuática y con efectos duraderos en el ambiente.",30.0,"['Niños, Protectores Solares', 'Cuidado del Bebé, Para el Baño', 'Niños, Espuma de Baño Infantil', 'Niños, Crema Dental', 'Cuidado Corporal, Talcos', 'Niños, Shampoo', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Manos y Pies', 'Cuidado del Cabello, Crema para peinar', 'Cuidado Corporal, Desodorante de Mujer', 'Limpieza de Baño, Desinfectantes de Baño', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado del Cabello, Tratamiento Capilar', 'Cuidado Corporal, Hidratantes', 'Cuidado Oral, Enjuague Bucal', 'Protectores Solares, Labial', 'Cuidado Facial, Hidratantes', 'Cuidado del Cabello, Acondicionador', 'Cuidado Corporal, Desodorantes', 'Cuidado Corporal, Jabones', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Corporal, Crema Corporal', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Corporal, Lociones Corporales', 'Cuidado Corporal, Geles de Baño', 'Cuidado Facial, Limpieza Facial', 'Cuidado Oral, Crema Dental']","Q3 ,Q4"
1,LINALOOL,LINALOOL,4.0,"DEODORANT, PERFUMING",0.562,"Ingrediente presente en la muchos de los aceites esenciales usados en productos de Belleza y Cuidado Personal, natural. En su forma pura sus efectos alérgenos son muy bajos. Sin embargo, en contacto con el aire, el Linalool puede oxidarse, dando lugar a la formación de productos con características alergénicas e irritantes para la piel.",30.0,"['Niños, Protectores Solares', 'Cuidado del Bebé, Para el Baño', 'Cuidado Facial, Limpiador Facial', 'Cuidado corporal, Jabones', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Manos y Pies', 'Cuidado del Cabello, Crema para peinar', 'Cuidado Corporal, Exfoliante', 'Cuidado Corporal, Desodorante de Mujer', 'Limpieza de Baño, Desinfectantes de Baño', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado del Cabello, Tratamiento Capilar', 'Cuidado Corporal, Hidratantes', 'Protectores Solares, Labial', 'Cuidado Facial, Humectante', 'Cuidado Facial, Hidratantes', 'Cuidado del Cabello, Acondicionador', 'Cuidado Corporal, Desodorantes', 'Cuidado Corporal, Jabones', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Corporal, Crema Corporal', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Corporal, Lociones Corporales', 'Cuidado Corporal, Geles de Baño', 'Desodorantes de Ambientes, Aerosoles', 'Limpieza de la Cocina, Detergentes', 'Cuidado Facial, Limpieza Facial']","Q3 ,Q4"
2,0,0,3.0,"PERFUMING, TONIC",0.312,Ingrediente potencialmente irritante para la piel.,24.0,"['Niños, Protectores Solares', 'Cuidado del Bebé, Para el Baño', 'Cuidado Facial, Limpiador Facial', 'Cuidado corporal, Jabones', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado del Cabello, Tratamiento Capilar', 'Cuidado Corporal, Hidratantes', 'Cuidado Facial, Humectante', 'Cuidado Facial, Hidratantes', 'Cuidado del Cabello, Acondicionador', 'Cuidado Corporal, Desodorantes', 'Cuidado Corporal, Jabones', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Corporal, Crema Corporal', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Corporal, Lociones Corporales', 'Desodorantes de Ambientes, Aerosoles', 'Cuidado Facial, Limpieza Facial']","Q3 ,Q4"
3,CITRONELLOL,CITRONELLOL,3.0,PERFUMING,0.312,Ingrediente potencialmente irritante para la piel.,23.0,"['Cuidado del Bebé, Para el Baño', 'Cuidado Facial, Limpiador Facial', 'Cuidado Corporal, Talcos', 'Cuidado corporal, Jabones', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Manos y Pies', 'Cuidado Corporal, Desodorante de Mujer', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado del Cabello, Tratamiento Capilar', 'Cuidado Facial, Humectante', 'Cuidado de Ropa, Jabones de Lavar', 'Cuidado Facial, Hidratantes', 'Cuidado del Cabello, Acondicionador', 'Cuidado Corporal, Desodorantes', 'Cuidado Corporal, Jabones', 'Cuidado Corporal, Desodorante de Hombre', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Corporal, Lociones Corporales', 'Desodorantes de Ambientes, Aerosoles', 'Cuidado Facial, Limpieza Facial']","Q3 ,Q4"
4,BENZYL ALCOHOL,BENZYL ALCOHOL,5.0,"PERFUMING, PRESERVATIVE, SOLVENT, VISCOSITY CONTROLLING",0.25,Ingrediente potencialmente alergénico y sensibilizador de la piel.,23.0,"['Niños, Protectores Solares', 'Niños, Crema Dental', 'Cuidado del Cabello, Shampoo', 'Cuidado Corporal, Protectores Solares', 'Cuidado Facial, Antiarrugas', 'Cuidado Facial, Protectores Solares', 'Cuidado Corporal, Manos y Pies', 'Cuidado del Cabello, Crema para peinar', 'Cuidado Corporal, Exfoliante', 'Cuidado del Bebé, Para Antes o Después del Baño', 'Cuidado del Cabello, Tratamiento Capilar', 'Protectores Solares, Labial', 'Cuidado Facial, Hidratantes', 'Cuidado del Cabello, Acondicionador', 'Cuidado Corporal, Desodorantes', 'Cuidado Corporal, Jabones', 'Cosmeticos, Labiales', 'Cuidado Facial, Exfoliante', 'Cuidado Corporal, Cremas Corporales', 'Cuidado Corporal, Lociones Corporales', 'Cuidado Corporal, Geles de Baño', 'Cuidado Facial, Limpieza Facial', 'Cuidado Oral, Crema Dental']","Q3 ,Q4"
